Year,Per Capita Income (in Rs),Substitute (in 000 Tonnes),Population,Demand (in 000 Tonnes)
1948,1299,28311,376325200,6400
1949,1303,29490,382376948,6462
1950,1309,31210,388799073,6183
1951,1313,35010,395544369,7501
1952,1321,43169,402578596,8017
1953,1325,38999,409880595,9043
1954,1328,38285,417442811,8760
1955,1347,39498,425270695,9403
1956,1350,38753,433380978,7998
1957,1355,44076,441798578,9958
1958,1347,44225,450547679,10324
1959,1384,47320,459642165,10997
1960,1454,46807,469077190,12072
1961,1355,47071,478825608,10776
1962,1335,50863,488848135,9853
1963,1413,52425,499123324,12257
1964,1415,41615,509631500,10394
1965,1478,43098,520400576,11393
1966,1520,49870,531513824,16540
1967,1492,46293,543084336,18651
1968,1446,47624,555189792,20093
1969,1483,48939,567868018,23832
1970,1469,41254,581087256,26410
1971,1572,37649,594770134,24735
1972,1552,51101,608802600,21778
1973,1635,41604,623102897,24104
1974,1689,50303,637630087,28846
1975,1550,41786,652408776,29010
1976,1630,50936,667499806,31749
1977,1693,48703,682995354,35508
1978,1691,37469,698952844,31830
1979,1790,46336,715384993,36313
1980,1811,46884,732239504,37452
1981,1841,32074,749428958,42794
1982,1871,48529,766833410,45476
1983,1901,57063,784360008,38257
1984,2059,58419,801975244,39330
1985,2157,50905,819682102,40403
1986,2222,44422,837468930,41476
1987,2175,70975,855334678,42549
1988,2239,70934,873277798,43622
1989,7690,72734,891273209,44695
1990,8070,64822,909307016,45769
1991,8489,72985,927403860,46842
1992,9007,75126,945601831,47915
1993,9244,79482,963922588,48988
1994,9650,67983,982365243,50061
1995,10071,82923,1000900030,51134
1996,15881,74864,1019483581,52207
1997,16172,82139,1038058156,53281
1998,16764,87676,1056575549,54354
1999,17101,77606,1075000085,55427
2000,18301,86483,1093317189,56500
2001,19331,48500,1111523144,57573
2002,24143,80992,1129623456,58646
2003,26015,65794,1147609927,59719
2004,28067,73632,1165486291,60792
2005,30332,79354,1183209472,61866
2006,31754,90137,1200669765,62939
2007,33901,91876,1217726215,64012
2008,36202,73276,1234281170,65085
2009,38048,93925,1250287943,66158
2010,38856,107734,1265780247,67231
2011,39904,102183,1280842125,68304
2012,63462,107035,1295600772,69378
2013,65538,93970,1310152403,70451
2014,68572,92170,1324517249,71524
2015,72805,106787,1338676785,72597
2016,77659,112257,1352642280,73670
2017,83003,113647,1366417754,74743
2018,87586,122846,1380004385,75816
2019,92241,131501,1393409038,76889
2020,94566,126385,1406631776,77963
2021,86659,131039,1419994777,79036